Direct,2022,2023,2024,Grand Bargain Proposal,Previous ERC proposal,New ERC proposal
International and other,877.8815166,797.3268961,604.975866,837.1685427,4016.21691,2790.561809
Local and national,336.4644067,343.8811772,329.1384373,1953.393266,2185.031555,6511.310888
