type,2019,2020,2021,2022,2023
Development,0.488853951,0.528085002,0.479298801,0.679985338,0.698547044
Development excl. Ukraine,0.480190833,0.501429492,0.459605698,0.460888692,0.4411024
Humanitarian Assistance,0.373847144,0.354793088,0.412482462,0.267289888,0.253622947
Humanitarian Assistance excl. Ukraine,0.388065124,0.382642889,0.437082704,0.450044134,0.477435778
Peace,0.137298905,0.11712191,0.108218737,0.052724774,0.047830009
Peace excl. Ukraine,0.131744043,0.115927619,0.103311599,0.089067174,0.081461822
Climate,0.05584507,0.053080491,0.057996045,0.041860838,0.041960065
Climate (less UKR),0.053829086,0.053080491,0.057996045,0.041860838,0.041960065
