,2019,2020,2021,2022,2023,2024
Localised governments,360.4575531,692.632352,258.1618882,748.9681852,1082.64951,859.1284563
Localised NGOs,664.3122974,702.0124874,770.6346926,837.2212009,1158.339117,961.8927719
Localised RCRCs,33.01687533,65.19255732,32.33980991,24.2947557,272.0942793,37.71377244
UNHCR Localised governments,,,,,142.935088,117.9713515
UNHCR Localised NGOs,,,,,500.13665,500.7780946
UNHCR Localised RCRCs,,,,,57.106253,43.11769589
