id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,originalAmount,refCode,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_GlobalCluster.id,sourceObjects_GlobalCluster.name,sourceObjects_GlobalCluster.behavior,sourceObjects_GlobalCluster.organizationTypes,sourceObjects_GlobalCluster.organizationSubTypes,sourceObjects_GlobalCluster.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_GlobalCluster.code,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Location.code,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_Organization.code,destinationObjects_Plan.id,destinationObjects_Plan.name,destinationObjects_Plan.behavior,destinationObjects_Plan.organizationTypes,destinationObjects_Plan.organizationSubTypes,destinationObjects_Plan.organizationLevels,destinationObjects_Plan.code,destinationObjects_Project.id,destinationObjects_Project.name,destinationObjects_Project.behavior,destinationObjects_Project.organizationTypes,destinationObjects_Project.organizationSubTypes,destinationObjects_Project.organizationLevels,destinationObjects_Project.code,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_UsageYear.code,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,destinationObjects_Emergency.code,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,sourceObjects_Plan.id,sourceObjects_Plan.name,sourceObjects_Plan.behavior,sourceObjects_Plan.organizationTypes,sourceObjects_Plan.organizationSubTypes,sourceObjects_Plan.organizationLevels,sourceObjects_Emergency.id,sourceObjects_Emergency.name,sourceObjects_Emergency.behavior,sourceObjects_Emergency.organizationTypes,sourceObjects_Emergency.organizationSubTypes,sourceObjects_Emergency.organizationLevels,sourceObjects_Emergency.code,sourceObjects_Organization.code,sourceObjects_Plan.code,sourceObjects_Project.id,sourceObjects_Project.name,sourceObjects_Project.behavior,sourceObjects_Project.organizationTypes,sourceObjects_Project.organizationSubTypes,sourceObjects_Project.organizationLevels,sourceObjects_Project.code,sourceObjects_UsageYear.code,sourceObjects_Location.code,destinationObjects_Cluster.id,destinationObjects_Cluster.name,destinationObjects_Cluster.behavior,destinationObjects_Cluster.organizationTypes,destinationObjects_Cluster.organizationSubTypes,destinationObjects_Cluster.organizationLevels,destinationObjects_Cluster.code,fullParkedAmountUSD,sourceObjects_Cluster.id,sourceObjects_Cluster.name,sourceObjects_Cluster.behavior,sourceObjects_Cluster.organizationTypes,sourceObjects_Cluster.organizationSubTypes,sourceObjects_Cluster.organizationLevels,sourceObjects_Cluster.code,sourceObjects_GlobalCluster.code,amountUSD_defl,amountUSD_defl_millions,COVID,deflator,destination_deliverychannel,destination_globalcluster,destination_ngotype,destination_org_country,destination_org_iso3,destination_orgtype,domestic_response,dummy,multiyear,new_to_country,new_to_plan,new_to_sector,newMoney_dest,reportDetails_destinationType,source_globalcluster,source_org_country,source_org_iso3,source_orgtype,source_privatemoney,year
323255,2115815,,"",financial,2024-10-02T14:48:04.162Z,2024-07-26T00:00:00Z,2024-07-26T00:00:00Z,Climate Resilient Agri-Food Systems Transformation Program (CRAFT),earmarked,,2024-10-02T00:00:00Z,Standard,Multiyear,TRUE,"",Traditional aid,323249,commitment,2024-11-08T11:57:55.127Z,1,incoming,single,,UTF/SSD/044/SSD,1920,"Republic of South Sudan, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,"","","",211,South Sudan,single,,,,,,,,,,26512,Agriculture,single,,,,,211,South Sudan,single,"","","",,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,,,,,,,,,,,,,,,,50,2029,single,"","","",,,,,,,,,Primary,Food and Agriculture Organization of the United Nations,Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2222080.76461126,2.22208076461126,FALSE,0.952177361730661,UN Multi,Agriculture,"",South Sudan,SSD,UN Multi,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,Unspecified,South Sudan,SSD,NDD,no,2029
323249,0,,323250|323251|323252|323253|323254|323255,financial,2024-10-02T14:39:47.936Z,2024-07-26T00:00:00Z,2024-07-26T00:00:00Z,Climate Resilient Agri-Food Systems Transformation Program (CRAFT),earmarked,,2024-10-02T00:00:00Z,Parked,Multiyear,TRUE,"",Traditional aid,,commitment,2024-11-08T11:57:55.204Z,1,incoming,shared,,UTF/SSD/044/SSD,1920,"Republic of South Sudan, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,"","","",211,South Sudan,single,"","","","","","","","","",26512,Agriculture,single,"","","","",211,South Sudan,single,"","","","",4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,,,"","",,,,,"","","","","","","",45; 46; 47; 48; 49; 50,2024; 2025; 2026; 2027; 2028; 2029,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,,"","","","","","","",Primary,Food and Agriculture Organization of the United Nations,Email,,"","",,,,,"","",,,,,,,,"","",,,,"",,,"","","","","","","",39600000,,"","",,,,,,0,0,FALSE,0.952177361730661,UN Multi,Agriculture,"",South Sudan,SSD,UN Multi,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,,Unspecified,South Sudan,SSD,NDD,no,2029
339111,0,2025,339112|339119|339120|339121|339122|339123|339124,financial,2025-03-12T02:33:13.014Z,2024-12-03T00:00:00Z,2024-12-03T00:00:00Z,Voluntary contribution to strengthening the international humanitarian system,unearmarked,0.913,2025-03-11T00:00:00Z,Parked,Multiyear,TRUE,EUR,Traditional aid,,commitment,2025-03-12T06:19:24.171Z,1,incoming,shared,0,S03-313.00#00128#0018-24,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,45; 46; 47; 48; 49; 50; 51,2024; 2025; 2026; 2027; 2028; 2029; 2030,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,83,Germany,single,"","","","","","","","","","","","","","","","",1; 19; 124; 162; 251,Afghanistan; Bangladesh; Lebanon; Niger; Global,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,"",12593,Women's Peace and Humanitarian Fund,single,Pooled Funds,Other Pooled Funds,Pooled Funds,,,"","",,,,,"","","","","","","",45; 46; 47; 48; 49; 50; 51,2024; 2025; 2026; 2027; 2028; 2029; 2030,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,,"","","","","","","",Primary,"Germany, Government of",From EDRIS,,"","",,,,,"","",,,,,,,,"","",,,,"",,,"","","","","","","",15881709,,"","",,,,,,0,0,FALSE,1.13777714503961,,Unspecified,,Multi-destination_org_country,MULTI,Pooled Funds,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,,Unspecified,Germany,DEU,DAC governments,no,2029
294681,38820,2023,"",financial,2023-11-23T10:31:13.634Z,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Coordination and Support Services	To assist humanitarian and non-profit organizations in fulfilling their mandates though the provision of essential security coordination and information services that help to understand the operating environment and reduce the risks confronting their staff and operations.,earmarked,0.805,2023-11-23T00:00:00Z,Parked,Multiyear,TRUE,GBP,Traditional aid,,commitment,2023-11-23T10:31:13.634Z,1,incoming,shared,62500,300978-403,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,"","","",236,United Kingdom,single,,,,,,,,,,26480,Coordination and support services,single,,,,,206,Somalia,single,"","","",,6865,International NGO Safety Organisation,single,NGOs,International NGOs,International Actors,,,,,,,,,,,,,,,,49; 50,2028; 2029,shared; shared,NULL; NULL,NULL; NULL,NULL; NULL,,,"","",,,,,Primary,"United Kingdom, Government of",Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77640,,,,,,,,,30300.5432665047,0.0303005432665047,FALSE,1.28116514804911,NGOs and CSOs,Coordination and support services,International NGO,Somalia,SOM,NGOs,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,Unspecified,United Kingdom,GBR,DAC governments,no,2029
323255,-2115815,,"",financial,2024-10-02T14:48:04.162Z,2024-07-26T00:00:00Z,2024-07-26T00:00:00Z,Climate Resilient Agri-Food Systems Transformation Program (CRAFT),earmarked,,2024-10-02T00:00:00Z,Standard,Multiyear,TRUE,"",Traditional aid,323249,commitment,2024-11-08T11:57:55.127Z,1,incoming,single,,UTF/SSD/044/SSD,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,50,2029,single,"","","",211,South Sudan,single,"","","",26512,Agriculture,single,,,,,,,,,,,211,South Sudan,single,,,,,1920,"Republic of South Sudan, Government of",single,Governments,National Governments,National and Sub-National State Actors,,,,,,,,,,,,,,,,45,2024,single,"","","",,,,,,,,,,Food and Agriculture Organization of the United Nations,Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2222080.76461126,-2.22208076461126,FALSE,0.952177361730661,,Unspecified,,South Sudan,SSD,NDD,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Primary,Agriculture,South Sudan,SSD,UN Multi,,2029
323249,0,,323250|323251|323252|323253|323254|323255,financial,2024-10-02T14:39:47.936Z,2024-07-26T00:00:00Z,2024-07-26T00:00:00Z,Climate Resilient Agri-Food Systems Transformation Program (CRAFT),earmarked,,2024-10-02T00:00:00Z,Parked,Multiyear,TRUE,"",Traditional aid,,commitment,2024-11-08T11:57:55.204Z,1,incoming,shared,,UTF/SSD/044/SSD,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,45; 46; 47; 48; 49; 50,2024; 2025; 2026; 2027; 2028; 2029,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,211,South Sudan,single,"","","",26512,Agriculture,single,"","","","","","","","","",,211,South Sudan,single,"","","",,1920,"Republic of South Sudan, Government of",single,Governments,National Governments,National and Sub-National State Actors,,,"","",,,,,,"","",,,,"",45,2024,single,"","","",,,"","",,,,,,Food and Agriculture Organization of the United Nations,Email,,"","",,,,"","","","","","","",,,"","","","","","","",,"",,"","",,,,,39600000,"","","","","","","","",0,0,FALSE,0.952177361730661,,Unspecified,,South Sudan,SSD,NDD,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Primary,Agriculture,South Sudan,SSD,UN Multi,,2029
