id,amountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,fullParkedAmountUSD,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,destinationObjects_Emergency.id,destinationObjects_Emergency.name,destinationObjects_Emergency.behavior,destinationObjects_Emergency.organizationTypes,destinationObjects_Emergency.organizationSubTypes,destinationObjects_Emergency.organizationLevels,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
303735,778443,2028,,financial,2024-03-25T08:37:38.634Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Protection,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,650000,CHF,Traditional aid,,commitment,2024-03-25T08:37:38.634Z,1,incoming,single,7F-10087.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,52,Democratic Republic of the Congo,single,,,,3200,Transcultural Psychosocial Organization,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
303773,598802,2028,,financial,2024-03-25T09:12:27.597Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Protection,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,500000,CHF,Traditional aid,,paid,2024-03-25T09:12:27.597Z,1,incoming,single,7F-10137.03,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,1,Afghanistan,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
303957,106270,2028,,financial,2024-03-25T15:19:50.134Z,2022-06-30T00:00:00Z,,Basic nutrition,earmarked,0.941,2024-01-14T00:00:00Z,Standard,,TRUE,100000,CHF,Traditional aid,,commitment,2024-03-25T15:19:50.134Z,1,incoming,single,7F-10226.02,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,9,Nutrition,single,,,,44,Chad,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,957,Sudan Complex Emergency 2023,single,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304124,71856,2028,,financial,2024-03-26T13:56:31.693Z,2019-04-30T00:00:00Z,,Protection,earmarked,0.835,2024-01-14T00:00:00Z,Standard,,TRUE,60000,CHF,Traditional aid,,commitment,2024-03-26T13:56:31.693Z,1,incoming,single,7F-10235.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,52,Democratic Republic of the Congo,single,,,,4332,Cordaid International,single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-14T00:00:00.000Z
304344,8383234,2028,,financial,2024-03-28T06:59:13.783Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Protection,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,7000000,CHF,Traditional aid,,commitment,2024-03-28T06:59:13.783Z,1,incoming,single,7F-10283.02,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,10,Protection,single,,,,52,Democratic Republic of the Congo,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
304345,3592814,2028,,financial,2024-03-28T07:00:04.374Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Water supply,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,3000000,CHF,Traditional aid,,commitment,2024-03-28T07:00:04.374Z,1,incoming,single,7F-10283.02,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,11,Water Sanitation Hygiene,single,,,,152,Mozambique,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
304357,598802,2028,,financial,2024-03-28T08:52:15.964Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Sectors not specified,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,500000,CHF,Traditional aid,,commitment,2024-03-28T08:52:15.964Z,1,incoming,single,7F-10283.02,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,11,Water Sanitation Hygiene,single,,,,250,Zimbabwe,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
304358,1197605,2028,,financial,2024-03-28T08:54:23.488Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Migration,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,1000000,CHF,Traditional aid,,commitment,2024-03-28T08:54:23.488Z,1,incoming,single,7F-10283.03,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,26481,Other,single,,,,71,Ethiopia,single,,,,5294,United Nations Development Programme,single,Multilateral Organizations,UN Agencies,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
304365,1197605,2028,,financial,2024-03-28T09:03:11.448Z,2024-01-12T00:00:00Z,2024-01-12T00:00:00Z,Household food security,earmarked,0.835,2024-01-12T00:00:00Z,Standard,,TRUE,1000000,CHF,Traditional aid,,commitment,2024-03-28T09:03:11.448Z,1,incoming,single,7F-10283.03,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,49,2028,single,,,,6,Food Security,single,,,,116,Kenya,single,,,,4319,International NGOs (Confidential),single,NGOs,International NGOs,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2024-01-12T00:00:00.000Z
304456,758342,,,financial,2024-03-28T14:53:38.488Z,2022-05-18T00:00:00Z,2022-05-18T00:00:00Z,Sexual and gender.based violence  (SGBV) prevention and response project in the Horn of Africa (HoA),earmarked,0.989,2022-06-16T00:00:00Z,Standard,Multiyear,TRUE,750000,CHF,Traditional aid,254212,commitment,2024-03-28T14:53:38.488Z,1,incoming,single,7F-10875.99,,217,Switzerland,single,,,,2924,"Switzerland, Government of",single,Governments,National Governments,National and Sub-National State Actors,43,2022,single,,,,13,Protection - Gender-Based Violence,single,,,,211; 116; 233; 69; 206; 71; 62; 212,South Sudan; Kenya; Uganda; Eritrea; Somalia; Ethiopia; Djibouti; Sudan,shared; shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL; NULL,2646,Swiss Development Cooperation/Swiss Humanitarian Aid,single,Governments,International Government Entities,International Actors,49,2028,single,,,,,,,,,,Primary,"Switzerland, Government of",Email,2022-06-16T00:00:00.000Z
