id,amountUSD,fullParkedAmountUSD,budgetYear,childFlowIds,contributionType,createdAt,date,decisionDate,description,grandBargainEarmarkingType,exchangeRate,firstReportedDate,flowType,keywords,newMoney,originalAmount,originalCurrency,method,parentFlowId,status,updatedAt,versionId,boundary,onBoundary,refCode,sourceObjects_Location.id,sourceObjects_Location.name,sourceObjects_Location.behavior,sourceObjects_Location.organizationTypes,sourceObjects_Location.organizationSubTypes,sourceObjects_Location.organizationLevels,sourceObjects_Organization.id,sourceObjects_Organization.name,sourceObjects_Organization.behavior,sourceObjects_Organization.organizationTypes,sourceObjects_Organization.organizationSubTypes,sourceObjects_Organization.organizationLevels,sourceObjects_UsageYear.id,sourceObjects_UsageYear.name,sourceObjects_UsageYear.behavior,sourceObjects_UsageYear.organizationTypes,sourceObjects_UsageYear.organizationSubTypes,sourceObjects_UsageYear.organizationLevels,destinationObjects_GlobalCluster.id,destinationObjects_GlobalCluster.name,destinationObjects_GlobalCluster.behavior,destinationObjects_GlobalCluster.organizationTypes,destinationObjects_GlobalCluster.organizationSubTypes,destinationObjects_GlobalCluster.organizationLevels,destinationObjects_Location.id,destinationObjects_Location.name,destinationObjects_Location.behavior,destinationObjects_Location.organizationTypes,destinationObjects_Location.organizationSubTypes,destinationObjects_Location.organizationLevels,destinationObjects_Organization.id,destinationObjects_Organization.name,destinationObjects_Organization.behavior,destinationObjects_Organization.organizationTypes,destinationObjects_Organization.organizationSubTypes,destinationObjects_Organization.organizationLevels,destinationObjects_UsageYear.id,destinationObjects_UsageYear.name,destinationObjects_UsageYear.behavior,destinationObjects_UsageYear.organizationTypes,destinationObjects_UsageYear.organizationSubTypes,destinationObjects_UsageYear.organizationLevels,reportDetails_sourceType,reportDetails_organization,reportDetails_reportChannel,reportDetails_date
294681,77640,77640,2023,,financial,2023-11-23T10:31:13.634Z,2023-06-01T00:00:00Z,2023-06-01T00:00:00Z,Coordination and Support Services	To assist humanitarian and non-profit organizations in fulfilling their mandates though the provision of essential security coordination and information services that help to understand the operating environment and reduce the risks confronting their staff and operations.,earmarked,0.805,2023-11-23T00:00:00Z,Parked,Multiyear,TRUE,62500,GBP,Traditional aid,,commitment,2023-11-23T10:31:13.634Z,1,incoming,shared,300978-403,236,United Kingdom,single,,,,2917,"United Kingdom, Government of",single,Governments,National Governments,National and Sub-National State Actors,44,2023,single,,,,26480,Coordination and support services,single,,,,206,Somalia,single,,,,6865,International NGO Safety Organisation,single,NGOs,International NGOs,International Actors,49; 50,2028; 2029,shared; shared,NULL; NULL,NULL; NULL,NULL; NULL,Primary,"United Kingdom, Government of",Email,2023-11-23T00:00:00.000Z
323249,0,39600000,,323250|323251|323252|323253|323254|323255,financial,2024-10-02T14:39:47.936Z,2024-07-26T00:00:00Z,2024-07-26T00:00:00Z,Climate Resilient Agri-Food Systems Transformation Program (CRAFT),earmarked,,2024-10-02T00:00:00Z,Parked,Multiyear,TRUE,,,Traditional aid,,commitment,2024-11-08T11:57:55.204Z,1,incoming,shared,UTF/SSD/044/SSD,211,South Sudan,single,,,,1920,"Republic of South Sudan, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,26512,Agriculture,single,,,,211,South Sudan,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,45; 46; 47; 48; 49; 50,2024; 2025; 2026; 2027; 2028; 2029,shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL,Primary,Food and Agriculture Organization of the United Nations,Email,2024-10-02T00:00:00.000Z
323255,2115815,,,,financial,2024-10-02T14:48:04.162Z,2024-07-26T00:00:00Z,2024-07-26T00:00:00Z,Climate Resilient Agri-Food Systems Transformation Program (CRAFT),earmarked,,2024-10-02T00:00:00Z,Standard,Multiyear,TRUE,,,Traditional aid,323249,commitment,2024-11-08T11:57:55.127Z,1,incoming,single,UTF/SSD/044/SSD,211,South Sudan,single,,,,1920,"Republic of South Sudan, Government of",single,Governments,National Governments,National and Sub-National State Actors,45,2024,single,,,,26512,Agriculture,single,,,,211,South Sudan,single,,,,4399,Food and Agriculture Organization of the United Nations,single,Multilateral Organizations,UN Agencies,International Actors,50,2029,single,,,,Primary,Food and Agriculture Organization of the United Nations,Email,2024-10-02T00:00:00.000Z
339111,0,15881709,2025,339112|339119|339120|339121|339122|339123|339124,financial,2025-03-12T02:33:13.014Z,2024-12-03T00:00:00Z,2024-12-03T00:00:00Z,Voluntary contribution to strengthening the international humanitarian system,unearmarked,0.913,2025-03-11T00:00:00Z,Parked,Multiyear,TRUE,0,EUR,Traditional aid,,commitment,2025-03-12T06:19:24.171Z,1,incoming,shared,S03-313.00#00128#0018-24,83,Germany,single,,,,4306,"Germany, Government of",single,Governments,National Governments,National and Sub-National State Actors,45; 46; 47; 48; 49; 50; 51,2024; 2025; 2026; 2027; 2028; 2029; 2030,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,,,,,,,1; 19; 124; 162; 251,Afghanistan; Bangladesh; Lebanon; Niger; Global,shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL,12593,Women's Peace and Humanitarian Fund,single,Pooled Funds,Other Pooled Funds,Pooled Funds,45; 46; 47; 48; 49; 50; 51,2024; 2025; 2026; 2027; 2028; 2029; 2030,shared; shared; shared; shared; shared; shared; shared,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,NULL; NULL; NULL; NULL; NULL; NULL; NULL,Primary,"Germany, Government of",From EDRIS,2025-03-11T00:00:00.000Z
