"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
3690,2023,1,3,ML,Mali,Mopti,Mopti,Kori,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,2,Kidnapping,Ambush,Road,14.406469,-3.758317,Unknown,"Non-state armed group: Regional","JNIM Militia","Two INGO national aid workers were kidnapped by suspected JNIM militants near Kori Village, Mopti region. They were released 3 days later.",Yes,Media
4117,2023,1,5,CD,"DR Congo","North Kivu",Goma,Goma,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack","Public location",-1.679444,29.233611,Incidental,Criminal,"Not applicable","One UN staff member was shot and killed by burglars on the street near his home after the staff tried to respond to calls his neighbours were being robbed.",Yes,"Focal Point"
3691,2023,1,5,NE,Niger,Diffa,Diffa,Chetimari,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Unknown,Ambush,Road,13.209806,12.425638,Unknown,"Non-state armed group: Regional","Boko Karam","One NNGO driver was killed in a vehicle provided by a UN agency during a suspected car-jacking by Boko Haram militants in Chetuimari town, Diffa region.",Yes,Media
3686,2023,1,6,ML,Mali,Gao,Gao,Gao,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Bodily assault","Individual attack","Public location",16.264757,-0.030315,Economic,Unknown,Unknown,"One national staff of an INGO was injured in a machete attack when resisting an armed robbery in Gao City.",Yes,"Official Report"
3687,2023,1,7,SS,"South Sudan",Jonglei,Duk,Duk,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Bodily assault",Raid,"Project site",7.747521,31.397913,Economic,"Non-state armed group: Subnational","Murle Tribesman","One NNGO contracted guard was attacked and killed by armed Murle tribesmen in Duk. An unknown quantity of food was stolen from the NGO facility.",Yes,"Official Report"
3692,2023,1,7,SS,"South Sudan",Jonglei,Nyirol,Waat,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,Ambush,Road,8.227466,32.159973,Unknown,"Non-state armed group: Subnational","Murle Tribesman","One national NGO aid worker was injured by a gunshot from armed Murle youth along the Lankien-Waat Road in Waat area, Nyirol County.",Yes,"Official Report"
3688,2023,1,8,SS,"South Sudan",Jonglei,Nyirol,Walgak,0,0,0,0,2,0,1,1,0,2,0,0,0,0,1,1,0,2,0,0,2,Unknown,Raid,"Public location",8.176352,32.198841,Incidental,"Non-state armed group: Subnational","Murle Tribesman","One national NGO staff was killed and another was injured while assisting the victims of a raid conducted by Murle youths in Walgat town, Nyirol, Jonglei. Both staff were off-duty at the time of the incident and were assisting community members as civilians.",Yes,"Official Report"
3689,2023,1,10,UA,Ukraine,"Donetsk Oblast",Bakhmut,Bakhmut,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,1,1,0,Shelling,Combat/Crossfire,Road,48.586577,37.999020,Disputed,"Foreign or coalition forces","Russian Armed Forces","One international male aid worker and one international female aid worker (Polish) were injured when a mortar bomb exploded next to them while unloading humanitarian aid from their vehicle in the Bakhmut front, Donetsk Oblast. Both of them were transported to their country of origin, and the woman suffered an amputation.",Yes,Media
3693,2023,1,10,SS,"South Sudan",Jonglei,Uror,"Mwot Tot",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Combat/Crossfire,Office/compound,8.162849,32.041078,Incidental,"Non-state armed group: Subnational","Murle Tribesman","One national INGO security guard was injured by a stray bullet from a clash between Murle tribesman and local youth of the Mwot Tot area in Uror County.",Yes,"Official Report"
3694,2023,1,10,ML,Mali,Gao,Menaka,Inagam,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Unknown,Raid,"Public location",15.961187,2.421273,Unknown,"Non-state armed group: Regional","Islamic State in the Greater Sahara","One national INGO was injured during an attack by the Islamic State in the Greater Sahara (ISGS) in Inagam village, in Menaka, Gao region.",Yes,"Official Report"
